2025-02-15T15:21:30.213824Z,31.64892,-104.19298,8.0,1.5164
TX.VHRN,2025-02-15T15:21:49.885000Z,2025-02-15T15:22:05.385000Z,6.581176345336546e-09
TX.PB10,2025-02-15T15:21:40.010000Z,2025-02-15T15:21:47.650000Z,7.04288788032135e-08
TX.PB31,2025-02-15T15:21:33.580000Z,2025-02-15T15:21:36.350000Z,3.088081534954916e-07
TX.PECS,2025-02-15T15:21:37.575000Z,2025-02-15T15:21:43.280000Z,5.905733206829702e-08
TX.PB11,2025-02-15T15:21:36.070000Z,2025-02-15T15:21:40.640000Z,6.807686566652282e-08
4O.WB04,2025-02-15T15:21:34.921500Z,2025-02-15T15:21:38.616500Z,2.5086535775409026e-07
4O.SA07,2025-02-15T15:21:35.253000Z,2025-02-15T15:21:39.193000Z,2.410226335605393e-08
TX.PB39,2025-02-15T15:21:33.105000Z,2025-02-15T15:21:35.405000Z,4.867173326604042e-07
TX.PB05,2025-02-15T15:21:49.330000Z,2025-02-15T15:22:03.620000Z,1.0701471720771659e-08
TX.PB36,2025-02-15T15:21:34.290000Z,2025-02-15T15:21:37.440000Z,9.315665633151669e-08
4O.LWM1,2025-02-15T15:21:42.380000Z,2025-02-15T15:21:51.495000Z,1.0386976638402814e-07
TX.PB34,2025-02-15T15:21:33.120000Z,2025-02-15T15:21:35.350000Z,8.256726728903275e-07
TX.PB20,2025-02-15T15:21:32.771000Z,2025-02-15T15:21:34.741000Z,3.62039894531913e-07
TX.PB43,2025-02-15T15:21:35.730000Z,2025-02-15T15:21:39.860000Z,3.2505371070610374e-07
TX.PB33,2025-02-15T15:21:33.625000Z,2025-02-15T15:21:36.195000Z,1.6332908232695218e-07
TX.PB26,2025-02-15T15:21:32.407000Z,2025-02-15T15:21:34.067000Z,4.651750928640503e-07
4O.WW01,2025-02-15T15:21:35.570000Z,2025-02-15T15:21:39.560000Z,2.0600784886093567e-07
TX.PB23,2025-02-15T15:21:32.595000Z,2025-02-15T15:21:34.355000Z,4.1250417068447383e-07
TX.PB32,2025-02-15T15:21:46.800000Z,2025-02-15T15:21:59.020000Z,1.7577949071337264e-08
TX.PB03,2025-02-15T15:21:45.400000Z,2025-02-15T15:21:56.580000Z,1.5069155704495408e-08
4O.WB05,2025-02-15T15:21:36.482500Z,2025-02-15T15:21:41.057500Z,1.1243394972349514e-07
4O.LWM2,2025-02-15T15:21:42.640000Z,2025-02-15T15:21:51.745000Z,1.3423167175332816e-07
4O.WB02,2025-02-15T15:21:34.871500Z,2025-02-15T15:21:38.231500Z,3.0397801022626694e-07
TX.PB18,2025-02-15T15:21:47.780000Z,2025-02-15T15:22:00.650000Z,1.1438654553642935e-08
TX.PB12,2025-02-15T15:21:39.235000Z,2025-02-15T15:21:45.785000Z,8.650987750357971e-08
TX.PB04,2025-02-15T15:21:47.110000Z,2025-02-15T15:21:59.440000Z,6.625791997897314e-09
TX.PB35,2025-02-15T15:21:34.370000Z,2025-02-15T15:21:37.240000Z,9.612924019879978e-08
4O.LWM3,2025-02-15T15:21:40.815000Z,2025-02-15T15:21:48.445000Z,3.774927998161308e-08
4O.NGL01,2025-02-15T15:21:51.319000Z,2025-02-15T15:22:06.709000Z,6.018730477673821e-09
4O.SA06,2025-02-15T15:21:32.801000Z,2025-02-15T15:21:34.501000Z,1.010544233869819e-06
4O.CV01,2025-02-15T15:21:34.510000Z,2025-02-15T15:21:37.465000Z,1.243623422842198e-07
TX.PB38,2025-02-15T15:21:34.550000Z,2025-02-15T15:21:37.530000Z,5.880852297295169e-08
4O.DB04,2025-02-15T15:21:50.370000Z,2025-02-15T15:22:05.040000Z,7.688456165759951e-09
4O.SA04,2025-02-15T15:21:32.907000Z,2025-02-15T15:21:34.667000Z,1.1990529563157055e-07
4O.PR01,2025-02-15T15:21:46.900000Z,2025-02-15T15:21:58.760000Z,3.776486970414017e-09
2025-02-15T10:41:39.733529Z,31.65892,-104.28798,4.0,1.1459
4O.SA04,2025-02-15T10:41:41.807000Z,2025-02-15T10:41:43.767000Z,1.6850709681928994e-07
TX.PB11,2025-02-15T10:41:46.090000Z,2025-02-15T10:41:51.130000Z,3.4170012220798406e-08
4O.SA06,2025-02-15T10:41:42.661000Z,2025-02-15T10:41:45.151000Z,2.4362724722290756e-07
